scenario,p,severity,log_return,S_T,pnl_$
Aggressive tariffs / restrictions,0.2,2,-0.0950191603462228,364.09686626377766,1513.3133736222344
Mild tariffs / tighter language,0.3,1,0.3520089406130502,569.3230647148873,-577.0
Mild tariffs / tighter language,0.3,1,-0.2753136974604302,304.02970523740896,2923.0
No new measures,0.45,0,0.0293268009148009,412.3060484406626,-577.0
No new measures,0.45,0,0.083128188980284,435.096261612182,-577.0
Mild tariffs / tighter language,0.3,1,-0.2563830925907072,309.83999407970987,2923.0
No new measures,0.45,0,0.0864162035250087,436.5292189500229,-577.0
Mild tariffs / tighter language,0.3,1,-0.0809116916716061,369.26975378107903,996.0246218920968
No new measures,0.45,0,0.0422830690665254,417.68275195801016,-577.0
No new measures,0.45,0,-0.0602118701689304,376.9932333151319,223.67666848681256
No new measures,0.45,0,0.0744155145683462,431.3218759200474,-577.0
No new measures,0.45,0,0.1138066480510321,448.651203728038,-577.0
No new measures,0.45,0,0.056180655486754,423.528057840098,-577.0
Aggressive tariffs / restrictions,0.2,2,0.1435096228738029,462.1773683409405,-577.0
Mild tariffs / tighter language,0.3,1,0.0143438189231211,406.1745233120563,-577.0
No new measures,0.45,0,-0.2522460776715149,311.1244618569989,2922.9999999999995
Mild tariffs / tighter language,0.3,1,0.1896219589441048,483.9884620214067,-577.0
No new measures,0.45,0,0.0257014368692499,410.8139951692287,-577.0
No new measures,0.45,0,0.1176036540436895,450.3579732937639,-577.0
Aggressive tariffs / restrictions,0.2,2,0.2369365956851558,507.4385928957695,-577.0
Mild tariffs / tighter language,0.3,1,-0.0097918227621597,396.4885987479669,-577.0
Mild tariffs / tighter language,0.3,1,-0.0692049488621539,373.6181026559992,561.1897344000777
No new measures,0.45,0,-0.0606196811313331,376.83952268640434,239.04773135956634
No new measures,0.45,0,0.1592484279917706,469.5090323434153,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0367360556807206,415.3722741917512,-577.0
Mild tariffs / tighter language,0.3,1,-0.0050580043486328,398.3699532595108,-577.0
Mild tariffs / tighter language,0.3,1,-0.0057563893960645,398.09183476901006,-577.0
Aggressive + retaliation,0.05,3,0.2223649364173131,500.0979829417793,-577.0
No new measures,0.45,0,-0.0211688818997044,392.0032877175772,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.1588071942110763,341.5970802083888,2922.9999999999995
Mild tariffs / tighter language,0.3,1,0.2202694809544222,499.05114707346166,-577.0
No new measures,0.45,0,0.0103174700232822,404.5424108988991,-577.0
No new measures,0.45,0,0.0668381418433375,428.0659405982092,-577.0
Mild tariffs / tighter language,0.3,1,0.170758519622487,474.944344792585,-577.0
No new measures,0.45,0,-0.054331896939718,379.2164733249519,1.3526675048108245
Mild tariffs / tighter language,0.3,1,-0.0431978492552501,383.4622802685943,-423.2280268594327
Mild tariffs / tighter language,0.3,1,-0.0097477879300838,396.5060584412472,-577.0
